Sr. No.,Client Name,Usecase Name,01-Jan,02-Jan,03-Jan,04-Jan,05-Jan,06-Jan,07-Jan,08-Jan,09-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,Total
11,BrightSpring Health Services,BrightSpring Referral Process ,0,58.3,0,0,62.15,60.15,57.15,53.55,42.2,0,0,41.45,30,32,42.55,31.2,12,12,44.55,36,42.3,30.45,26.15,0,0,10,27.15,26.2,29.55,18.4,0,##.05
12,Butte HH,Butte - Referral process ,0,8,0,0,3,1,2,0,0,0,0,1,12,8,4,1,0,0,2,0,2,2,0,0,0,0,5,0,0,0,0,51
13,Care Dimensions,Care Dimension ECM Billing,0,0,0,0,3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.3
14,CareFlo Optimization,AI Copilot - Exploration,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03
15,Compassus,Compassus Referral Intake & Eligibility,9,31.01,0,0,45.34,39.32,42.3,27.3,48.06,9,0,21,33.32,26,38.02,26.3,0,0,39.32,42.34,39.1,57.4,50.3,0,0,0,29.15,21.2,23.32,24.2,0,##.10
16,Devoted Guardians,DG-Authorization Process,0,7,0,0,19,12,12,17,11.13,0,0,8.15,8.3,18.3,14,18.3,0,0,12,9,6.3,16.45,5.3,0,0,0,14,3.3,10,5.3,0,##.43
17,Devoted Guardians,EVV Migration to Web based,0,0.3,0,0,0,0,2.15,5,1,0,0,7,17,8.3,15.3,0,0,0,3,7,12,3.3,2,7,0,0,16,10,4.4,0,0,##.55
18,Devoted Guardians,EVV Reporting and Dashboard,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19,Devoted Guardians,EVV: Clock-In and Clock-out,0,0,0,0,0,0,0.45,2,0.3,0,0,0.3,0,0,1,0,0,0,0.3,0.3,0,0,0,0,0,0,1.3,0,0,0,0,7.15
20,Devoted Guardians,PSD-Point System Dashboard,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
21,Devoted Guardians,Update EVV  form SmartSheet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
22,Elara Caring,Elara-HCHB Intake-Optimization Project,0,0,0,0,7,6,7,9,0,0,0,8,7,8,0,8,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,84
23,Elara Caring,ERMA Redesign- Allscript Intake-SNOW Integration,0,9,0,0,17,17,17,9,23.3,0,0,10,14,12,8,8,0,0,9.3,8,0,0,0,0,0,0,0,0,2,0,0,##.00
24,Elara Caring,Forcura Intake-SNOW Updates- Change Request#1 & 2,0,4,0,0,12.3,11.05,11.3,8,0,0,0,13.3,16.3,17,6,0,0,0,11.3,6.3,17,8,0,0,0,0,14.3,13.3,6,9,0,##.05
25,Elara Caring,SNOW-HCHB Integration (Patient Creation),0,0,0,0,8,8,13,8,8,0,0,8,8,8,8,8,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,##.00
26,EverCare,EverCare - Referral CareFlo,8,28.32,0,0,31.03,36.33,23,27.3,12,0,0,29.35,45.03,37.02,23,25.34,0,0,42.32,34,22,16.45,12.3,0,0,0,9.3,47.3,7.31,13,0,##.10
27,HomeAssist,Production Support ACtivities ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,HomeCentris Healthcare,EVV_Maryland,0,0.3,0,0,2.15,1.15,0,0,0,0,0,1,0,0,1,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,6.45
29,HomeCentris Healthcare,EVV_Virginia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
30,Idle,Idle,0,0,0,0,7,8,6.3,7,7,0,0,7,8,8,8,8,0,0,8,8.05,8,8,8,0,0,0,8,8,8,8,0,##.35
31,Instant Care of Arizona,EVV,0,0,0,0,2,0,0,7,3,0,0,5,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.43,0,0,10.15,0,29.28
32,"Lucent Health Group, LP",Patient Chart Synchronization Automation ,0,12.01,0,0,8,11.01,18.01,8,13,0,0,16.3,0.3,2.32,8.3,0,0,0,16,5,1.01,0,0,0,0,0,9,9.3,0.3,1.01,0,##.07
33,Morselife Health System,MorseLife - Insurance Eligibility,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2.3,3,0,0,5,3,0,3,4,0,0,0,2,2,3,0,0,35.3
34,Ohioans,Insurance Change Management Process,0,7.07,0,0,0,0,0,0,0,0,0,0,0,2.02,6.01,5.01,0,0,0,3.01,2.01,0,0,0,0,0,0,0,0,0,0,25.13
35,Ohioans,Ohioans Authorization,0,9,0,0,8,8,9.3,8.3,9,0,0,6,8,8,8,8,0,0,1.3,4,3.3,1,0,0,0,0,2,9,8,8,0,##.00
36,Ohioans,Post Intake Acceptance Process Automation,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
37,Ohioans HHC,Authorization Automation,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7
38,Ohioans HHC,CR_Ohioans Referral Intake,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
39,Ohioans HHC,Referral Source Management ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,6,0,0,0,7,7,9,7,0,52
40,Olli Home Health,Ingest Pending OASIS Audit Bot ,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,4,3,3,1,0,0,0,1,1,1,1,0,26
41,Pegasus,Pegasus - Referral Process,0,25.3,8,0,48.02,73.03,66.32,73.03,60.02,0,0,63.32,61.02,70.02,54.32,35.3,0,0,34.08,29.3,15.3,17.3,1.3,0,0,0,4,30,3,0,0,##.58
42,RVNA,RVNA Referral Careflo Implementation,0,29,0,0,27.45,31.3,25.2,15.3,8,0,0,18,15.09,15,20.3,14,0,0,13,20,10,13,11,0,0,0,10.04,19.08,8,11,0,##.56
43,The Carpenter Health,Carpenter Referral Intake Process,0,5,0,0,15.03,23.33,25.34,24.27,31.27,0,0,20.42,13.35,14.03,20.22,34.51,0,0,44.24,50.2,35.01,46,74.57,0,0,0,47.35,45.22,36.51,15.31,0,##.38
44,US-Clients,OPS support ,##.33,##.43,18.3,9.3,##.16,##.38,##.08,##.09,##.54,9,0,##.07,##.34,##.47,##.27,##.51,17,8,##.56,##.28,##.39,##.04,##.24,0,0,##.42,##.36,##.33,##.33,##.01,0,##.03
45,Vibrant Homecare,Authorization Process,0,0,0,0,0,0,0,2,2,0,0,1.3,0,1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,7
46,Vibrant Homecare,Caregiver recuitement Process  ,0,6,0,0,0,7,7,3,7,0,0,7,8,3,2,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,63
